10 12
11 14
12 15
13 15
14 15
15 16
16 16
17 17
18 17
19 19
20 18
21 19
22 20
23 19
24 21
25 21
26 20
27 20
28 22
29 24
30 24
31 23
32 26
33 25
34 25
35 25
36 24
37 24
38 25
39 25
40 25
41 25
42 28
43 28
44 29
45 27
46 29
47 30
48 29
49 29
50 28
51 29
52 28
53 27
54 27
55 26
56 29
57 29
58 28
59 27
60 28
61 27
62 27
63 27
64 30
65 29
66 30
67 29
68 28
69 27
70 29
71 25
72 26
73 25
74 28
75 28
76 28
77 27
78 26
79 28
80 27
81 29
82 32
83 29
84 28
85 30
86 31
87 29
88 29
89 28
90 28
91 29
92 29
93 30
94 29
95 30
96 29
97 27
98 28
99 27
